ISO_Code,Countries,Economic Freedom Summary Index,Rank,Quartile,Size of Government,Legal System & Property Rights,Sound Money,Freedom to trade Internationally,Regulation
NER,Niger,5.97,135,4,6.76,3.66,7.22,5.72,6.51
NGA,Nigeria,6.7,92,3,8.46,3.75,9,4.5,7.78
NIC,Nicaragua,6.84,82,2,6.02,4.25,9.67,7.3,6.94
NLD,Netherlands,7.75,17,1,4.86,8.35,9.14,8.6,7.78
NOR,Norway,7.58,32,1,4.72,8.57,9.34,7.6,7.65
NPL,Nepal,6.54,103,3,8,5.07,6.58,5.71,7.34
NZL,New Zealand,8.27,4,1,6.29,8.72,9.58,8.19,8.57
OMN,Oman,6.65,93,3,4.66,5.26,8.77,7.56,6.98
PAK,Pakistan,6.03,130,4,8.11,3.8,6.31,5.62,6.31
PAN,Panama,7.45,41,1,7.56,5.56,9.39,8.08,6.64
PER,Peru,7.5,37,1,7.56,5.35,9.71,7.86,7.02
PHL,Philippines,7.09,66,2,7.92,4.44,9.58,6.21,7.31
PNG,Papua New Guinea,6.17,122,3,5.64,4.63,6.86,6.6,7.12
POL,Poland,6.93,80,2,5.56,6.17,8.18,7.67,7.07
PRT,Portugal,7.43,42,1,6.02,7.18,9.23,8.44,6.28
PRY,Paraguay,6.96,78,2,7.99,4.46,9.49,6.67,6.21
QAT,Qatar,6.99,76,2,5.94,5.43,8.6,7.57,7.43
ROU,Romania,7.74,19,1,6.97,6.64,9.35,8.49,7.22
RUS,Russian Federation,6.62,94,3,5.7,5.13,9.09,6.53,6.65
RWA,Rwanda,6.9,81,2,5.07,6.22,8.74,7.06,7.43
SAU,Saudi Arabia,6.78,86,3,4.71,6.81,8.97,6.43,6.99
SDN,Sudan,4.21,164,4,6.78,2.73,1.25,5.52,4.77
SEN,Senegal,6.05,129,4,6.94,4.36,7.11,5.98,5.86
SGP,Singapore,8.48,2,1,7.18,8.29,9.62,8.61,8.72
SLE,Sierra Leone,5.98,133,4,7.44,4.57,7.11,5.67,5.11
SLV,El Salvador,7.12,64,2,8.48,4.37,9.59,7.12,6.04
SOM,Somalia,6.03,130,4,8.74,2.34,6.86,7.1,5.09
SRB,Serbia,6.82,84,3,6.41,5.51,8.28,6.73,7.17
SUR,Suriname,5.81,143,4,6.16,4.55,5.69,6.15,6.52
SVK,Slovak Republic,7.33,54,2,6.16,6.32,9.14,7.59,7.46
SVN,Slovenia,7,75,2,4.74,6.57,9.46,7.44,6.8
SWE,Sweden,7.56,33,1,4.43,7.93,9.62,8.13,7.67
SWZ,Eswatini,5.76,144,4,4.97,3.83,7.85,5.03,7.13
SYC,Seychelles,7.01,72,2,6.56,5.81,8.57,7.51,6.6
SYR,Syrian Arab Republic,4.63,162,4,6.25,3.01,6.28,2.44,5.18
TCD,Chad,5.55,152,4,7.96,2.69,6.82,4.93,5.33
TGO,Togo,6.19,121,3,6.79,5.1,7.18,5.48,6.4
THA,Thailand,6.78,86,3,6.91,4.96,9.78,6.47,5.8
TJK,Tajikistan,6.6,95,3,5.85,4.75,9.15,6.45,6.79
TLS,Timor-Leste,5.94,136,4,4.44,3.47,8.33,7.28,6.19
TTO,Trinidad and Tobago,7.01,72,2,6.91,5.31,9.52,6.58,6.75
TUN,Tunisia,6.09,128,4,5.18,5.08,8.01,5.7,6.48
TUR,Turkey,6.48,112,3,6.52,4.84,8.27,6.92,5.88
TWN,Taiwan,7.68,24,1,7.63,7.16,9.58,6.31,7.71
TZA,Tanzania,6.55,99,3,5.97,5.39,8.34,6.02,7.03
UGA,Uganda,7.18,60,2,7.43,4.56,9.32,6.93,7.67
UKR,Ukraine,6.11,126,4,7.04,4.92,6.22,6.29,6.07
URY,Uruguay,7.06,68,2,6.21,5.91,8.8,7.54,6.84
USA,United States,7.97,7,1,6.79,7.56,9.63,7.77,8.11
VEN,Venezuela RB,3.32,165,4,4.61,2.52,0.94,6.03,2.5
VNM,Vietnam,6.42,113,3,6.96,5.14,6.94,6.13,6.96
YEM,Yemen Rep.,5.67,147,4,8.45,2.75,8.21,5.38,3.58
ZAF,South Africa,6.55,99,3,5.99,5.95,8.21,5.8,6.78
ZMB,Zambia,6.56,98,3,6.59,4.95,8.16,6.8,6.3
